step,actic loss,critic loss,average distance,time
3380,-1.6812,1.1308,5.8544,0min12sec
3390,-1.6764,1.1278,5.8493,0min12sec
3400,-1.6718,1.1248,5.8443,0min12sec
3410,-1.6671,1.1219,5.8392,0min12sec
3420,-1.6624,1.1189,5.8341,0min12sec
3430,-1.6578,1.1160,5.8291,0min12sec
3440,-1.6533,1.1131,5.8242,0min12sec
3450,-1.6486,1.1102,5.8192,0min13sec
3460,-1.6441,1.1073,5.8143,0min12sec
3470,-1.6396,1.1044,5.8094,0min12sec
3480,-1.6352,1.1016,5.8045,0min12sec
3490,-1.6306,1.0988,5.7997,0min12sec
3500,-1.6262,1.0960,5.7949,0min11sec
3510,-1.6217,1.0932,5.7901,0min11sec
3520,-1.6176,1.0904,5.7854,0min11sec
3530,-1.6131,1.0877,5.7807,0min11sec
3540,-1.6088,1.0850,5.7760,0min11sec
3550,-1.6046,1.0823,5.7713,0min11sec
3560,-1.6003,1.0795,5.7666,0min11sec
3570,-1.5960,1.0768,5.7620,0min11sec
3580,-1.5917,1.0741,5.7574,0min11sec
3590,-1.5874,1.0715,5.7528,0min11sec
3600,-1.5831,1.0689,5.7483,0min11sec
3610,-1.5791,1.0662,5.7438,0min11sec
3620,-1.5750,1.0636,5.7393,0min11sec
3630,-1.5708,1.0610,5.7349,0min11sec
3640,-1.5668,1.0584,5.7305,0min11sec
3650,-1.5627,1.0558,5.7260,0min11sec
3660,-1.5587,1.0533,5.7216,0min11sec
3670,-1.5546,1.0507,5.7171,0min11sec
3680,-1.5506,1.0482,5.7128,0min11sec
3690,-1.5466,1.0456,5.7084,0min11sec
3700,-1.5427,1.0431,5.7041,0min11sec
3710,-1.5387,1.0406,5.6998,0min11sec
3720,-1.5348,1.0381,5.6956,0min12sec
3730,-1.5309,1.0357,5.6916,0min12sec
3740,-1.5270,1.0332,5.6875,0min12sec
3750,-1.5232,1.0308,5.6833,0min12sec
3760,-1.5194,1.0283,5.6791,0min11sec
3770,-1.5155,1.0259,5.6750,0min11sec
3780,-1.5116,1.0235,5.6708,0min11sec
3790,-1.5079,1.0211,5.6667,0min11sec
3800,-1.5041,1.0187,5.6626,0min11sec
3810,-1.5003,1.0163,5.6586,0min11sec
3820,-1.4966,1.0140,5.6546,0min11sec
3830,-1.4929,1.0116,5.6505,0min11sec
3840,-1.4892,1.0093,5.6465,0min11sec
3850,-1.4855,1.0069,5.6425,0min11sec
3860,-1.4819,1.0046,5.6386,0min11sec
3870,-1.4782,1.0023,5.6345,0min11sec
3880,-1.4745,1.0000,5.6306,0min11sec
3890,-1.4709,0.9977,5.6267,0min11sec
3900,-1.4673,0.9954,5.6228,0min11sec
3910,-1.4637,0.9931,5.6189,0min11sec
3920,-1.4602,0.9909,5.6151,0min11sec
3930,-1.4565,0.9887,5.6113,0min12sec
3940,-1.4531,0.9864,5.6075,0min12sec
3950,-1.4495,0.9842,5.6037,0min11sec
3960,-1.4459,0.9820,5.5999,0min11sec
3970,-1.4425,0.9798,5.5962,0min11sec
3980,-1.4391,0.9776,5.5924,0min11sec
3990,-1.4357,0.9754,5.5887,0min11sec
4000,-1.4322,0.9733,5.5850,0min11sec
4010,-1.4288,0.9711,5.5813,0min11sec
4020,-1.4255,0.9690,5.5777,0min11sec
4030,-1.4222,0.9669,5.5740,0min11sec
4040,-1.4188,0.9647,5.5703,0min11sec
4050,-1.4155,0.9626,5.5667,0min11sec
4060,-1.4122,0.9605,5.5631,0min11sec
4070,-1.4089,0.9584,5.5595,0min11sec
4080,-1.4057,0.9563,5.5560,0min11sec
4090,-1.4023,0.9542,5.5525,0min11sec
4100,-1.3990,0.9521,5.5489,0min11sec
4110,-1.3958,0.9500,5.5453,0min11sec
4120,-1.3926,0.9480,5.5418,0min12sec
4130,-1.3895,0.9460,5.5383,0min12sec
4140,-1.3863,0.9440,5.5348,0min12sec
4150,-1.3831,0.9420,5.5315,0min11sec
4160,-1.3799,0.9400,5.5281,0min11sec
4170,-1.3769,0.9380,5.5247,0min11sec
4180,-1.3737,0.9360,5.5213,0min11sec
4190,-1.3706,0.9340,5.5179,0min12sec
4200,-1.3675,0.9320,5.5146,0min12sec
4210,-1.3645,0.9301,5.5112,0min12sec
4220,-1.3614,0.9281,5.5078,0min12sec
4230,-1.3582,0.9262,5.5045,0min12sec
4240,-1.3553,0.9243,5.5012,0min12sec
4250,-1.3522,0.9223,5.4979,0min12sec
4260,-1.3492,0.9204,5.4946,0min12sec
4270,-1.3462,0.9185,5.4913,0min12sec
4280,-1.3433,0.9166,5.4881,0min12sec
4290,-1.3403,0.9147,5.4848,0min12sec
4300,-1.3374,0.9128,5.4816,0min12sec
4310,-1.3345,0.9109,5.4784,0min13sec
4320,-1.3314,0.9091,5.4752,0min12sec
4330,-1.3287,0.9073,5.4721,0min12sec
4340,-1.3257,0.9054,5.4690,0min12sec
4350,-1.3229,0.9036,5.4659,0min12sec
4360,-1.3200,0.9017,5.4627,0min12sec
4370,-1.3171,0.8999,5.4595,0min12sec
4380,-1.3142,0.8980,5.4564,0min12sec
4390,-1.3113,0.8962,5.4532,0min12sec
4400,-1.3085,0.8944,5.4502,0min12sec
4410,-1.3056,0.8926,5.4471,0min12sec
4420,-1.3028,0.8908,5.4440,0min12sec
4430,-1.3001,0.8890,5.4410,0min12sec
4440,-1.2973,0.8872,5.4380,0min12sec
4450,-1.2945,0.8854,5.4349,0min12sec
4460,-1.2916,0.8837,5.4319,0min12sec
4470,-1.2888,0.8819,5.4289,0min12sec
4480,-1.2861,0.8802,5.4259,0min12sec
4490,-1.2833,0.8785,5.4230,0min12sec
4500,-1.2805,0.8768,5.4201,0min13sec
4510,-1.2779,0.8751,5.4172,0min12sec
